autor,link,publicacao,subtitulo,titulo
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/05/10/loud-nao-descarta-mudanca-mas-nega-saida-de-less.ghtml, 10/05/2024 19h46 ,Organização enviou comunicado à imprensa para rebater informações publicadas por leaker nas redes sociais,"LOUD não descarta mudança, mas nega saída de Less"
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/05/09/cs-fluxo-muda-elenco-e-contrata-art.ghtml, 09/05/2024 19h52 ,Clube promove duas mudanças no time de Counter-Strike para sequência da temporada 2024,CS: Fluxo muda elenco e contrata arT 
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/05/07/dono-da-furia-alega-que-arabia-saudita-e-diferente-do-estereotipo.ghtml, 07/05/2024 11h21 ,Time brasileiro é um dos clubes selecionados para receber dinheiro da ditadura saudita para investimento nos esports; LOUD é o outro,"Dono da FURIA alega que Arábia Saudita é ""diferente do estereótipo"""
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/05/06/furia-e-loud-entram-em-programa-para-receber-dinheiro-saudita.ghtml, 06/05/2024 11h51 ,Clubes brasileiros estão entre os 30 escolhidos para receberem valores de seis dígitos da Arábia Saudita,FURIA e LOUD entram em programa para receber dinheiro saudita
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/05/08/vct-americas-2024-loud-fica-fora-de-torneio-internacional-pela-1a-vez.ghtml, 08/05/2024 21h58 ,Time brasileiro é eliminado na abertura dos playoffs do VCT Américas 2024 e não chega ao top-3 que classifica para o Valorant Masters Shanghai,Valorant: LOUD fica fora de torneio internacional pela 1ª vez
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/05/08/ceo-da-copa-do-mundo-de-esports-arabia-saudita.ghtml, 08/05/2024 11h30 ,"Ralf Reichert fala do investimento milionário do país do Oriente Médio para se tornar uma potência nos esportes eletrônicos, diversificar economia e limpar imagem internacional",CEO da Copa do Mundo de Esports rebate críticas sobre Arábia Saudita
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/05/05/atleta-da-los-e-resgatado-apos-ficar-ilhado-em-enchente-no-rs-perdemos-tudo.ghtml, 05/05/2024 13h49 ,"Phzin, do Free Fire, precisou de resgate em inundação em Canoas; personalidades dos esports se mobilizam para arrecadação de doações a afetados no Rio de Grande do Sul","Atleta da LOS é resgatado após ficar ilhado em enchente no RS: ""Perdemos tudo"""
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/05/04/msi-2024-foi-bem-decepcionante-e-triste-diz-robo-apos-vexame-contra-gam.ghtml, 04/05/2024 13h02 ,LOUD perdeu para time vietnamita sem dois jogadores titulares e deu adeus ao MSI 2024 em mais uma campanha ruim de representantes brasileiros,"""Foi bem decepcionante e triste"", diz Robo após vexame contra GAM"
 Por Redação do ge ,https://ge.globo.com/futebol/futebol-internacional/noticia/2024/04/30/haaland-ganha-personagem-em-clash-of-clans-veja.ghtml, 30/04/2024 14h43 ,"Atacante do Manchester City se tornou ""Rei Bárbaro"" no popular jogo de celular ",Haaland ganha personagem em Clash of Clans; veja
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/29/msi-2024-de-lol-data-tabela-jogos-horario-e-times.ghtml, 29/04/2024 09h17 ,"Campeonato internacional de LoL, realizado em Chengdu, na China, tem participação da LOUD","MSI 2024 de LoL: data, tabela, jogos, horário e times"
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/05/04/msi-2024-loud-perde-da-gam-desfalcada-e-cai-com-vexame.ghtml, 04/05/2024 09h07 ,Time brasileiro é derrotado por equipe vietnamita sem dois jogadores titulares e é eliminado de campeonato internacional de LoL,MSI 2024: LOUD perde da GAM desfalcada e cai com vexame
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/05/04/msi-2024-eliminacao-da-loud-repercute-na-web-humilhacao.ghtml, 04/05/2024 09h57 ,Personalidades detonam campanha do time brasileiro no campeonato internacional de LoL,"Eliminação da LOUD no MSI 2024 repercute na web: ""Humilhação"""
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/05/02/msi-2024-loud-perde-para-tes-na-estreia.ghtml, 02/05/2024 08h34 ,Time brasileiro é derrotado por representante da China na abertura da fase de entrada e volta a jogar no sábado no campeonato internacional de LoL,MSI 2024: LOUD perde para TES na estreia
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/05/03/vcb-2024-hero-base-e-campea-brasileira-da-etapa-1.ghtml, 03/05/2024 08h07 ,"Com vitória contra RED Canids na final, time dá terceiro título consecutivo a trio ex-The Union",VCB 2024: Hero Base é campeã brasileira da Etapa 1
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/20/final-do-cblol-2024-atletas-da-loud-sobre-torcedores-da-pain-passaram-do-ponto.ghtml, 20/04/2024 20h48 ,"Jogadores do time campeão, especialmente RedBert, enfrentaram hostilidades da torcida adversária durante a final do 1º Split do CBLOL 2024","Atletas da LOUD rebatem torcedores da paiN: ""Passaram do ponto"""
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/20/msi-2024-robo-analisa-chances-da-loud-bem-confiante.ghtml, 20/04/2024 21h19 ,Jogador analisou as adversárias do time brasileiro no Mid-Season Invitational (MSI) depois da conquista do 1º Split do CBLOL 2024,"Robo analisa chances da LOUD no MSI 2024: ""Bem confiante"""
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/20/final-do-cblol-2024-loud-campea-consolida-recordes.ghtml, 20/04/2024 18h24 ,Jogadores da tetracampeã chegam a marcas históricas e inéditas,Final do CBLOL 2024: LOUD campeã consolida recordes
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/21/final-do-cblol-2024-redbert-explica-choro-e-critica-passagem-por-torcedores.ghtml, 21/04/2024 11h54 ,Jogador da LOUD sofreu com provocações e xingamentos de torcida da paiN na final do 1º Split do CBLOL 2024 e virou alvo preferencial ao mostrar dedo do meio,RedBert explica choro e critica passagem por torcedores
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/22/brtt-anuncia-estar-aberto-a-propostas-quero-voltar.ghtml, 22/04/2024 14h43 ,Maior jogador do League of Legends brasileiro confirma intenção de retornar ao CBLOL depois de ser superado em número de títulos por Robo,"BrTT anuncia estar aberto a propostas: ""Quero voltar"""
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/20/final-do-cblol-2024-titan-perde-final-pela-1a-vez-e-pain-amarga-8o-vice.ghtml, 20/04/2024 21h59 ,"Mesmo com jogador que nunca havia perdido decisão antes, equipe é derrotada de novo pela LOUD na final do 1º Split do CBLOL 2024 e chega ao quinto vice seguido","TitaN perde final pela 1ª vez, e paiN amarga 8º vice"
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/22/final-do-cblol-2024-vivendo-minha-melhor-fase-diz-tinowns-apos-6o-titulo.ghtml, 22/04/2024 17h34 ,"Jogador da LOUD se tornou hexacampeão brasileiro uma década depois do primeiro título de CBLOL, monstrando uma rara constância vencedora","""Vivendo minha melhor fase"", diz Tinowns após 6º título"
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/16/em-primeiras-trocas-com-fallen-furia-muda-art-e-guerri.ghtml, 16/04/2024 15h43 ,"Jogador do time de CS deixa elenco titular, enquanto treinador dá espaço para montagem de nova comissão técnica ","Em primeiras trocas com FalleN, FURIA muda arT e guerri"
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/07/cblol-2024-loud-bate-pain-e-vai-a-quarta-final-seguida.ghtml, 07/04/2024 17h29 ,LOUD disputará título brasileiro de LoL pela quarta vez em 20 de abril,CBLOL 2024: LOUD bate paiN e vai à quarta final seguida
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/14/cblol-2024-pain-vai-a-quinta-final-seguida.ghtml, 14/04/2024 16h38 ,"Depois de vencer a Keyd, time se classifica para encarar a LOUD pela quarta vez em uma decisão",CBLOL 2024: paiN vai à quinta final seguida
 Por Redação do ge ,https://ge.globo.com/esports/noticia/2024/04/08/pmgo-2024-brasil-bate-na-trave-e-leva-o-vice-do-mundial.ghtml, 08/04/2024 14h45 ,"Equipe Reject, do Japão, ficou em primeiro lugar nas finais do mundial aberto do último domingo; brasileiros da Alpha7 Esports garantiram a segunda colocação",PMGO 2024: Brasil bate na trave e leva o vice do mundial
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/15/cblol-2024-ceo-da-keyd-e-multado-por-post-sobre-aposta.ghtml, 15/04/2024 14h35 ,"Diretor fez publicação com apostas em jogo do CBLOL, o que é proibido pelo regulamento",CBLOL 2024: CEO da Keyd é multado por post sobre aposta
 Por Igor Celso ,https://ge.globo.com/esports/noticia/2024/04/15/sps-mobile-masters-brasil-e-vice-no-cod-mobile-e-free-fire.ghtml, 15/04/2024 18h31 ,Circuito da ESL teve evento principal em São Paulo com times brasileiros no Top 2 do CoD Mobile e Free Fire,SPS Mobile Masters: Brasil é vice no CoD Mobile e Free Fire
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/19/final-do-cblol-2024-personalidades-creem-em-titulo-da-loud.ghtml, 19/04/2024 12h03 ,"1º Split do CBLOL 2024 é decidido neste sábado, com reedição das últimas três decisões",Final do CBLOL 2024: personalidades creem em título da LOUD
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/03/26/furia-anuncia-retorno-de-nozwer-para-time-de-valorant.ghtml, 26/03/2024 18h08 ,"Jogador argentino é contratado para substituir liazzi, voltando à organização pela qual disputou duas edições do Valorant Champions",FURIA anuncia retorno de Nozwer para time de Valorant
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/03/29/manifestantes-invadem-palco-do-major-de-cs-e-trofeu-e-derrubado.ghtml, 29/03/2024 18h43 ,Jogo do PGL Major Copenhagen 2024 é interrompido por protesto contra patrocinador de uma das equipes,"Manifestantes invadem palco do Major de CS, e troféu é derrubado"
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/03/30/copa-do-mundo-da-arabia-saudita-tera-torneio-de-lol.ghtml, 30/03/2024 13h25 ,"Evento de esports promovido pelo governo saudita, acusado de violações de direitos humanos, contará com campeonatos de diversas modalidades",Copa do Mundo da Arábia Saudita terá torneio de LoL
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/03/vct-americas-2024-etapa-1-tabela-jogos-formato-e-mais.ghtml, 03/04/2024 13h56 ,"Etapa 1 do VCT Américas de Valorant é disputada nos Estados Unidos, com LOUD, FURIA e MIBR entre os times participantes","VCT Américas 2024: tabela, jogos, formato e mais"
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/02/iem-rio-2024-e-anunciado-pela-esl.ghtml, 02/04/2024 12h00 ,"Rio de Janeiro receberá campeonato internacional de Counter-Strike 2 (CS2), na terceira edição consecutiva do evento no Brasil",IEM Rio 2024 é anunciado pela ESL
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/04/02/fluxo-oficializa-campeoes-mundiais-de-free-fire-em-2023.ghtml, 02/04/2024 17h59 ,"Clube contrata jogadores, treinador e analista que venceram o FFWS pela Magic Squad",Fluxo oficializa campeões mundiais de Free Fire em 2023
 Por Gabriel Oliveira ,https://ge.globo.com/esports/blogs/por-dentro-dos-esports/post/2024/03/28/liga-de-lol-do-vietna-tem-32-suspensos-por-manipulacao-de-jogos.ghtml, 28/03/2024 12h07 ,Os oito times participantes da competição de League of Legends possuem integrantes punidos pela Riot Games,Liga de LoL do Vietnã tem 32 suspensos por manipulação de jogos
